year,sec_key,string,trap,SpCode,mass,otter_density,mass.round
2020,GUKT.20,3,pot,CRABHEL,0,25.70356473,0
2020,HECA.20,3,pot,CRABHEL,0,3.568773234,0
2020,KAGK.20,3,pot,CRABHEL,0,10.4669524,0
2020,KLWA.20,3,pot,CRABHEL,0,0,0
2020,NATZ.20,3,pot,CRABHEL,0,0,0
2020,NAUK.20,3,pot,CRABHEL,0,3.752886836,0
2020,NFEI.20,3,pot,CRABHEL,0,0.529500756,0
2020,NOSK.20,3,pot,CRABHEL,0,2.876984127,0
2020,NPAS.20,3,pot,CRABHEL,0,0,0
2020,REFU.20,3,pot,CRABHEL,0,0,0
2020,SALA.20,3,pot,CRABHEL,0,2.813943721,0
2020,SFEI.20,3,pot,CRABHEL,0,1.322525597,0
2020,SHIN.20,3,pot,CRABHEL,0,2.847843775,0
2020,SODA.20,3,pot,CRABHEL,0,2.854150301,0
2020,SWAD.20,3,pot,CRABHEL,0,0.339558574,0
2020,BLAQ.20,1,minnow,CRABRR,0,2.402196294,0
2020,CHUS.20,1,minnow,CRABRR,0,10.96354903,0
2020,DUNB.20,1,minnow,CRABRR,0,0.066889632,0
2020,FARA.20,1,minnow,CRABRR,0,0.242277408,0
2020,GARC.20,1,minnow,CRABRR,0,6.237721022,0
2020,GOAT.20,1,minnow,CRABRR,0,0.056963828,0
2020,GUKT.20,1,minnow,CRABRR,0,25.70356473,0
2020,HECA.20,1,minnow,CRABRR,0,3.568773234,0
2020,KAGK.20,1,minnow,CRABRR,0,10.4669524,0
2020,NAUK.20,1,minnow,CRABRR,0,3.752886836,0
2020,NFEI.20,1,minnow,CRABRR,0,0.529500756,0
2020,NOSK.20,1,minnow,CRABRR,0,2.876984127,0
2020,NPAS.20,1,minnow,CRABRR,0,0,0
2020,REFU.20,1,minnow,CRABRR,0,0,0
2020,SALA.20,1,minnow,CRABRR,0,2.813943721,0
2020,SFEI.20,1,minnow,CRABRR,0,1.322525597,0
2020,SHIN.20,1,minnow,CRABRR,0,2.847843775,0
2020,SODA.20,1,minnow,CRABRR,0,2.854150301,0
2020,BLAQ.20,2,minnow,CRABRR,0,2.402196294,0
2020,CHUS.20,2,minnow,CRABRR,0,10.96354903,0
2020,DUNB.20,2,minnow,CRABRR,0,0.066889632,0
2020,FARA.20,2,minnow,CRABRR,0,0.242277408,0
2020,GARC.20,2,minnow,CRABRR,0,6.237721022,0
2020,GUKT.20,2,minnow,CRABRR,0,25.70356473,0
2020,HECA.20,2,minnow,CRABRR,0,3.568773234,0
2020,KAGK.20,2,minnow,CRABRR,0,10.4669524,0
2020,NAUK.20,2,minnow,CRABRR,0,3.752886836,0
2020,NOSK.20,2,minnow,CRABRR,0,2.876984127,0
2020,REFU.20,2,minnow,CRABRR,0,0,0
2020,SALA.20,2,minnow,CRABRR,0,2.813943721,0
2020,SFEI.20,2,minnow,CRABRR,0,1.322525597,0
2020,SHIN.20,2,minnow,CRABRR,0,2.847843775,0
2020,SWAD.20,2,minnow,CRABRR,0,0.339558574,0
2020,BLAQ.20,3,minnow,CRABRR,0,2.402196294,0
2020,CHUS.20,3,minnow,CRABRR,0,10.96354903,0
2020,DUNB.20,3,minnow,CRABRR,0,0.066889632,0
2020,FARA.20,3,minnow,CRABRR,0,0.242277408,0
2020,GARC.20,3,minnow,CRABRR,0,6.237721022,0
